,split,goldblue,goldred,bTowers,rTowers,bKills,rKills,bResult,rResult
299,"3598    2018-1
Name: split, dtype: object",56466,47682,8,1,13,6,1,0
300,"3610    2018-1
Name: split, dtype: object",74338,58314,11,1,13,3,1,0
301,"3622    2018-1
Name: split, dtype: object",59429,68291,4,9,6,13,0,1
302,"3634    2018-1
Name: split, dtype: object",46091,55639,2,8,9,12,0,1
303,"3646    2018-1
Name: split, dtype: object",45997,56110,3,10,6,16,0,1
304,"3658    2018-1
Name: split, dtype: object",73684,61772,10,5,20,11,1,0
305,"3670    2018-1
Name: split, dtype: object",71364,58137,10,5,15,3,1,0
306,"3682    2018-1
Name: split, dtype: object",60110,64853,3,10,10,12,0,1
307,"3694    2018-1
Name: split, dtype: object",37760,50423,1,8,2,13,0,1
308,"3706    2018-1
Name: split, dtype: object",39269,51513,2,10,3,10,0,1
309,"3718    2018-1
Name: split, dtype: object",62615,56976,8,2,15,13,1,0
310,"3730    2018-1
Name: split, dtype: object",41988,55016,1,10,4,10,0,1
311,"3742    2018-1
Name: split, dtype: object",39800,55057,1,9,4,17,0,1
312,"3754    2018-1
Name: split, dtype: object",50270,60931,3,10,7,12,0,1
313,"3766    2018-1
Name: split, dtype: object",71079,69927,9,5,8,14,1,0
314,"3778    2018-1
Name: split, dtype: object",69239,62247,8,4,13,10,1,0
315,"3790    2018-1
Name: split, dtype: object",54019,45250,9,2,12,4,1,0
316,"3802    2018-1
Name: split, dtype: object",67766,77781,3,10,4,17,0,1
317,"3814    2018-1
Name: split, dtype: object",74340,57535,11,1,26,10,1,0
318,"3826    2018-1
Name: split, dtype: object",64434,54207,11,3,10,8,1,0
319,"3838    2018-1
Name: split, dtype: object",41423,55007,1,11,3,9,0,1
320,"3850    2018-1
Name: split, dtype: object",87006,74866,10,6,21,12,1,0
321,"3862    2018-1
Name: split, dtype: object",50172,56400,5,9,3,13,0,1
322,"3874    2018-1
Name: split, dtype: object",48631,61753,1,9,4,18,0,1
323,"3886    2018-1
Name: split, dtype: object",57515,47080,8,2,14,3,1,0
324,"3898    2018-1
Name: split, dtype: object",51037,64897,3,10,2,11,0,1
325,"3910    2018-1
Name: split, dtype: object",67158,52567,11,2,12,2,1,0
326,"3922    2018-1
Name: split, dtype: object",92966,88176,5,10,15,7,1,0
327,"3934    2018-1
Name: split, dtype: object",61698,48504,9,0,9,3,1,0
328,"3946    2018-1
Name: split, dtype: object",49480,59221,0,7,10,12,0,1
329,"3958    2018-1
Name: split, dtype: object",78887,69233,10,3,15,10,1,0
330,"3970    2018-1
Name: split, dtype: object",60108,45724,11,1,6,0,1,0
331,"3982    2018-1
Name: split, dtype: object",43283,53483,2,9,2,11,0,1
332,"3994    2018-1
Name: split, dtype: object",77065,70039,9,8,17,10,1,0
333,"4006    2018-1
Name: split, dtype: object",46412,56170,3,8,4,14,0,1
334,"4018    2018-1
Name: split, dtype: object",90420,74258,11,3,26,10,1,0
335,"4030    2018-1
Name: split, dtype: object",63513,51498,11,0,19,13,1,0
336,"4042    2018-1
Name: split, dtype: object",37105,57188,0,11,5,19,0,1
337,"4054    2018-1
Name: split, dtype: object",48152,60880,0,11,6,17,0,1
338,"4066    2018-1
Name: split, dtype: object",81840,83180,6,7,20,16,0,1
339,"4078    2018-1
Name: split, dtype: object",57294,63310,4,7,5,7,0,1
340,"4090    2018-1
Name: split, dtype: object",62571,73358,2,10,7,11,0,1
341,"4102    2018-1
Name: split, dtype: object",69329,58768,11,1,9,3,1,0
342,"4114    2018-1
Name: split, dtype: object",82872,71044,10,4,12,6,1,0
343,"4126    2018-1
Name: split, dtype: object",53553,37398,11,0,17,0,1,0
344,"4138    2018-1
Name: split, dtype: object",59928,65437,4,7,7,6,0,1
345,"4150    2018-1
Name: split, dtype: object",50156,68097,1,10,6,17,0,1
346,"4162    2018-1
Name: split, dtype: object",67297,51242,11,1,17,4,1,0
347,"4174    2018-1
Name: split, dtype: object",85383,84624,8,5,15,14,1,0
