,leage,game,view,length,real_time,duration,chat
101183,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:43,21369.805,PepeLaugh
101184,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:43,21370.02,RYL Esat EU team LULW
101185,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:44,21370.498,NA > EU
101186,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:44,21370.688,clintAY BATTLE THE PASTAS clintAY WITH A CHAT clintAY FULL OF CUTIES clintAY
101187,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:44,21370.904,ummm Medic... Pyke not aggressive?
101188,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:44,21371.092999999997,CoolStoryBob
101189,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:45,21371.322999999997,joker
101190,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:45,21372.057,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101191,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:45,21372.16,CG LULW
101192,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:46,21372.507999999998,Clap
101193,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:46,21372.55,FAAAANAAAAATIIIIIIIIIIIIIIC
101194,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:46,21373.13,Stand With Wukong
101195,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:47,21373.658,Clap
101196,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:47,21373.738999999998,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101197,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:47,21374.034,TURKEY LUL
101198,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:48,21374.312,LUL THE LUL ONLY LUL WORLD LUL RECORD LUL NA LUL OWNS LUL IS LUL LOSING LUL THE LUL QUICKEST LUL INTERNATIONNAL LUL BO5 LUL TO LUL EUROPE
101199,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:48,21374.502999999997,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now.."
101200,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:48,21375.276,Pepega 📣
101201,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:48,21375.297000000002,Clap
101202,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:49,21375.567000000003,EU wouldnt have League to play if NA didnt Create it LUL
101203,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:49,21376.189,IRON CHAT WeirdChamp
101204,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:50,21376.366,<3 MercyWing1 LesbianPride MercyWing2 <3
101205,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:50,21376.953999999998,@1999188
101206,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:51,21377.637000000002,📞 AYAYA MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO AYAYA
101207,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:51,21377.654,AYAYA AYAYA AYAYA
101208,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:51,21377.902000000002,FLAMEEEEEEEEENGO
101209,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:51,21378.069,@tnt00master bot
101210,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:51,21378.273999999998,tanner KappaPride
101211,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:52,21379.277000000002,cLoser
101212,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:53,21380.001,LUL EU LUL TRASH LUL
101213,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:53,21380.231,HELLO 📞 KR 4Head WE ARE TEAMS IN PLAY INS 📞 4Head I THINK THE KR PLAYERS WE BOUGHT ARE NOT DOING WELL 📞 4Head I WANT REFUND 📞 4Head
101214,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:54,21380.472999999998,Clap
101215,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:55,21381.477000000003,WEEBS OUT !
101216,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:55,21381.682,AYAYA STAR GUARDIAN
101217,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:55,21381.911,dogdogEdu dogdogEdu dogdogEdu dogdogEdu
101218,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:55,21382.08,TANNER TIME
101219,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:56,21382.338,slow mode isn't even on WeirdChamp
